JobID           JobName     MaxRSS     ReqMem        NodeList 
------------ ---------- ---------- ---------- --------------- 
3359847      mem200_03+                31968G nid[001000,001+ 
3359847.bat+      batch                             nid001000 
3359847.ext+     extern                       nid[001000,001+ 
3359847.0    alya_3D_l+    499848K            nid[001000,001+ 
3359847.1    alya_3D_l+    500524K            nid[001122,001+ 
3359847.2    alya_3D_l+    500172K            nid[001253-001+ 
3359847.3    alya_3D_l+    505360K            nid[001420-001+ 
3359847.4    alya_3D_l+    500396K            nid[001921-001+ 
3359847.5    alya_3D_l+    500416K            nid[002657,002+ 
3359847.6    alya_3D_l+    499920K            nid[001000,001+ 
3359847.7    alya_3D_l+    500460K            nid[001122,001+ 
3359847.8    alya_3D_l+    502476K            nid[001122,001+ 
3359847.9    alya_3D_l+    500124K            nid[001271,001+ 
3359847.10   alya_3D_l+    499888K            nid[001253-001+ 
3359847.11   alya_3D_l+    500572K            nid[001420-001+ 
3359847.12   alya_3D_l+    502436K            nid[001000,001+ 
3359847.13   alya_3D_l+    500176K            nid[001122,001+ 
3359847.14   alya_3D_l+    500308K            nid[001253-001+ 
3359847.15   alya_3D_l+    500116K            nid[001271,001+ 
3359847.16   alya_3D_l+    500548K            nid[001253-001+ 
3359847.17   alya_3D_l+    500300K            nid[001420-001+ 
3359847.18   alya_3D_l+    499852K            nid[001000,001+ 
3359847.19   alya_3D_l+    500340K            nid[001000,001+ 
3359847.20   alya_3D_l+    501532K            nid[001921-001+ 
3359847.21   alya_3D_l+    499784K            nid[001253-001+ 
3359847.22   alya_3D_l+    500196K            nid[001431,001+ 
3359847.23   alya_3D_l+    515668K            nid[001420-001+ 
3359847.24   alya_3D_l+    500556K            nid[001122,001+ 
3359847.25   alya_3D_l+    516324K            nid[001000,001+ 
3359847.26   alya_3D_l+    516372K            nid[001000,001+ 
3359847.27   alya_3D_l+    500216K            nid[001253-001+ 
3359847.28   alya_3D_l+    516552K            nid[002657,002+ 
